Year,State,BallotsCountedVEP,HighestOfficeVEP,BallotsCounted,VotesHighestOffice,VEP,VAP,PctNonCitizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,StateAbbreviation
2008,Oklahoma,0.563,0.558,1474694,1462661,2619121,2770219,0.040,25864,27940,3073,41371,57046,OK
2008,Oregon,0.683,0.677,1845251,1827864,2700327,2916246,0.069,14167,0,0,14167,63480,OR
2008,Pennsylvania,0.642,0.636,6071357,6012692,9457942,9813664,0.031,49215,0,0,49215,203791,PA
2008,Rhode Island,0.623,0.618,475428,471766,763608,825786,0.070,4045,0,0,4045,13827,RI
2008,South Carolina,0.582,0.58,1927153,1920969,3311044,3473488,0.034,24326,41254,1947,45927,72241,SC
2008,South Dakota,0.656,0.647,387449,381975,590720,602539,0.012,3342,0,2720,4702,20144,SD
2008,Tennessee,0.574,0.57,2618238,2599749,4563192,4771926,0.031,27228,58109,10578,61572,127930,TN
2008,Texas,,0.541,,8077795,14929810,17756112,0.135,172506,427080,102921,437507,549216,TX
2008,Utah,0.571,0.56,971185,952370,1700286,1840087,0.072,6552,0,0,6552,31783,UT
2008,Vermont,0.677,0.673,326822,325046,482677,492610,0.020,0,0,0,0,10546,VT
2008,Virginia,0.676,0.67,3753059,3723260,5555415,6022123,0.066,38276,53614,4471,67319,124689,VA
2008,Washington,0.673,0.666,3071587,3036878,4561163,5032960,0.078,17926,113134,11768,80377,138296,WA
2008,West Virginia,0.512,0.499,731691,713362,1430439,1453045,0.008,6059,8283,2005,11203,33788,WV
2008,Wisconsin,0.727,0.724,2997086,2983417,4120694,4306876,0.030,23379,50418,18105,57641,78721,WI
2008,Wyoming,0.631,0.628,256035,254658,405732,418040,0.017,2084,5438,727,5167,13832,WY
2010,United States,0.418,0.41,90912015,89099476,217551109,236022989,0.085,1512225,1321051,629644,3244035,4972217,US
2010,Alabama,0.433,0.43,1503232,1494273,3472582,3661784,0.028,31587,50622,9006,86889,,AL
2010,Alaska,0.529,0.519,261128,256192,493764,528744,0.040,5576,6959,2089,13601,,AK
2010,Arizona,0.416,0.41,1750840,1727791,4209544,4807398,0.103,35368,52316,7993,96443,,AZ
2010,Arkansas,0.379,0.375,789773,781333,2081156,2216171,0.037,16047,26995,21106,53752,,AR
2010,California,0.459,0.44,10529134,10095485,22946053,28167234,0.177,146412,0,105133,217629,,CA
2010,Colorado,0.517,0.506,1828323,1787730,3533054,3843619,0.073,21559,0,11014,28322,,CO
2010,Connecticut,0.459,0.459,1153872,1153115,2512981,2765843,0.084,18553,0,2894,20768,,CT
2010,Delaware,0.49,0.475,316754,307402,646969,696940,0.055,6307,4448,560,11326,,DE
2010,District of Columbia,0.296,0.289,135846,132656,458619,506765,0.095,0,0,0,0,,DC
2010,Florida,0.422,0.417,5473787,5411106,12961184,14916066,0.112,97944,165760,4093,272113,,FL
2010,Georgia,0.406,0.398,2623035,2576161,6464845,7255919,0.074,54710,185286,25091,254264,,GA
2010,Hawaii,0.403,0.399,386302,382563,959531,1062593,0.091,5813,0,0,5912,,HI
2010,Idaho,0.429,0.423,459079,452535,1069446,1147210,0.047,7268,13721,3957,23131,,ID
2010,Illinois,0.431,0.424,3792770,3729989,8798829,9735944,0.091,46314,0,0,48418,,IL
2010,Indiana,0.381,0.371,1791832,1744481,4697111,4896656,0.035,27481,0,0,28028,,IN
2010,Iowa,0.507,0.499,1133429,1116063,2234516,2328262,0.032,9276,8862,3197,19916,,IA
2010,Kansas,0.426,0.417,857658,838790,2011497,2137815,0.052,8741,3704,5063,15287,,KS
2010,Kentucky,0.443,0.424,1417995,1356468,3198093,3332204,0.024,20385,25688,14628,53546,,KY
2010,Louisiana,0.4,0.389,1298649,1264994,3249524,3438247,0.027,39335,42599,26202,95145,,LA
2010,Maine,0.559,0.552,580584,572766,1038201,1055605,0.016,0,0,0,0,,ME
2010,Maryland,0.467,0.464,1868179,1857880,4001034,4449617,0.088,21992,26164,13195,55407,,MD
2010,Massachusetts,0.494,0.489,2319963,2297039,4693670,5152976,0.087,10429,0,0,11312,,MA
2010,Michigan,0.451,0.445,3268217,3226088,7245281,7555742,0.035,43499,0,0,44113,,MI
2010,Minnesota,0.558,0.554,2123369,2107021,3802677,4041199,0.045,9281,42661,5807,55361,,MN
2010,Mississippi,,0.37,,788549,2129334,2220094,0.018,21067,26793,6434,51077,,MS
2010,Missouri,0.457,0.445,1997271,1943899,4366435,4581260,0.026,30178,54916,19421,95250,,MO
2010,Montana,0.484,0.475,367096,360341,758653,770601,0.011,3706,0,0,3716,,MT
2010,Nebraska,0.387,0.375,503514,487988,1301483,1375023,0.047,4324,4080,941,9138,,NE
2010,Nevada,0.414,0.413,723515,721404,1747288,2046400,0.135,12653,8067,4964,23202,,NV
2010,New Hampshire,0.461,0.457,461423,456588,999918,1033023,0.029,2694,0,0,2761,,NH
2010,New Jersey,0.377,0.364,2200974,2121584,5834037,6750869,0.122,25007,57517,15563,90306,,NJ
2010,New Mexico,0.447,0.428,630013,602827,1408872,1552212,0.077,6541,14855,3146,23087,,NM
2010,New York,0.363,0.355,4763899,4658586,13135048,15111583,0.125,50668,0,48542,80927,,NY
2010,North Carolina,0.398,0.392,2700706,2660079,6785463,7310093,0.061,38341,36740,3621,78667,,NC
2010,North Dakota,0.466,0.462,241039,238812,516974,527497,0.017,1480,0,0,1487,,ND
2010,Ohio,0.462,0.449,3956028,3852453,8571952,8826908,0.023,51116,0,0,51712,,OH
2010,Oklahoma,0.391,0.388,1043507,1034767,2666767,2839030,0.044,25893,20601,2627,48167,,OK
2010,Oregon,0.539,0.527,1487210,1453548,2760607,2984806,0.070,12262,0,0,14014,,OR
2010,Pennsylvania,0.424,0.417,4055336,3987551,9565822,9946290,0.033,50116,0,0,51264,,PA
2010,Rhode Island,0.454,0.448,346357,342290,763534,829913,0.076,3357,0,0,3357,,RI
2010,South Carolina,0.403,0.397,1365480,1344198,3388417,3571250,0.038,23074,21144,6412,47928,,SC
2010,South Dakota,0.539,0.529,323410,317083,599507,616113,0.019,3373,0,2843,4856,,SD
2010,Tennessee,0.351,0.346,1620542,1601549,4622919,4878724,0.035,27213,52178,12157,85708,,TN
2010,Texas,0.327,0.321,5066957,4979870,15514007,18487369,0.135,164507,247136,104763,473167,,TX
2010,Utah,0.368,0.363,653274,643307,1772934,1914974,0.070,6536,0,0,6807,,UT
2010,Vermont,0.498,0.494,243617,241605,488942,498254,0.019,0,0,0,0,,VT
2010,Virginia,0.391,0.387,2214505,2189841,5660589,6194717,0.071,36020,56654,2624,95376,,VA
2010,Washington,0.543,0.532,2565589,2511094,4724350,5190736,0.083,17331,15452,6956,37165,,WA
2010,West Virginia,0.372,0.368,536493,529948,1442003,1468812,0.009,6673,6650,1796,14229,,WV
2010,Wisconsin,0.524,0.52,2185021,2171331,4172130,4365214,0.032,22724,22602,19572,55112,,WI
2010,Wyoming,0.46,0.455,190822,188463,414536,430673,0.024,2059,3231,682,5684,,WY
2012,United States,0.586,0.58,130292355,129070906,222474111,240957993,0.084,1473412,2342582,637410,3352390,5127418,US
2012,Alabama,,0.586,,2074338,3539217,3707440,0.026,32232,57993,8616,71584,,AL
2012,Alaska,0.589,0.587,301694,300495,511792,543763,0.038,5633,7173,1882,11317,,AK
2012,Arizona,0.53,0.526,2323579,2306559,4387900,4959270,0.099,35188,72452,7460,81048,,AZ
2012,Arkansas,0.511,0.507,1078548,1069468,2109847,2242740,0.035,14471,30122,23372,53808,,AR
2012,California,0.557,0.551,13202158,13038547,23681837,28913129,0.174,119455,0,89287,208742,,CA
2012,Colorado,0.706,0.699,2596173,2569522,3675871,3981208,0.069,18807,0,11458,30265,,CO
2012,Connecticut,0.614,0.613,1560640,1558960,2543202,2801375,0.085,16935,0,2793,19728,,CT
2012,Delaware,,0.623,,413921,663967,715708,0.051,6610,15641,601,15501,,DE
2012,District of Columbia,0.616,0.615,294254,293764,477582,528848,0.097,0,0,0,0,,DC
2012,Florida,0.633,0.628,8538264,8474179,13495057,15380947,0.108,91954,240869,4538,224153,,FL
2012,Georgia,0.593,0.59,3919355,3900050,6606607,7452696,0.072,52737,442061,24761,311790,,GA
2012,Hawaii,0.445,0.442,437159,434697,982902,1088335,0.092,5544,0,0,5544,,HI
2012,Idaho,0.61,0.598,666290,652274,1091410,1173727,0.046,7985,31606,3848,28584,,ID
2012,Illinois,0.593,0.589,5279752,5242014,8899143,9827043,0.089,49348,0,0,49348,,IL
2012,Indiana,0.56,0.552,2663368,2624534,4755291,4960376,0.036,28266,0,0,28266,,IN
2012,Iowa,0.706,0.703,1589951,1582180,2251748,2356209,0.032,8470,29333,5151,29167,,IA
2012,Kansas,0.582,0.569,1182771,1156254,2030686,2162442,0.050,9346,17021,5126,23493,,KS
2012,Kentucky,0.562,0.557,1815843,1797212,3229185,3368684,0.022,21863,54511,14419,65173,,KY
2012,Louisiana,0.608,0.602,2014548,1994065,3311626,3495847,0.027,40047,41298,28946,90881,,LA
2012,Maine,0.693,0.682,724758,713180,1046008,1064779,0.018,0,0,0,0,,ME
2012,Maryland,0.673,0.666,2734062,2707327,4063582,4553853,0.089,20871,96640,13195,85285,,MD
2012,Massachusetts,0.662,0.659,3184196,3167767,4809675,5263550,0.084,10283,0,0,10283,,MA
2012,Michigan,0.654,0.647,4780701,4730961,7312725,7625576,0.035,43019,0,0,43019,,MI
2012,Minnesota,0.764,0.76,2950780,2936561,3861598,4114820,0.044,9383,108157,6006,72712,,MN
2012,Mississippi,,0.593,,1285584,2166825,2246931,0.015,22305,30768,6804,45416,,MS
2012,Missouri,,0.622,,2757323,4432957,4628500,0.025,30714,55470,20672,80785,,MO
2012,Montana,0.635,0.625,491966,484048,774476,785454,0.009,3592,0,0,3592,,MT
2012,Nebraska,0.611,0.603,804245,794379,1316915,1396507,0.047,4466,14260,1383,13407,,NE
2012,Nevada,0.565,0.564,1016664,1014918,1800969,2105976,0.133,12883,11321,5379,24262,,NV
2012,New Hampshire,0.709,0.702,718700,710972,1013420,1047978,0.030,2672,0,0,2672,,NH
2012,New Jersey,0.622,0.615,3683638,3640292,5918182,6847503,0.121,21759,114886,14987,97636,,NJ
2012,New Mexico,0.548,0.546,786522,783757,1436363,1573400,0.073,6553,21381,5078,22963,,NM
2012,New York,0.535,0.531,7128852,7074723,13324107,15344671,0.125,49889,0,46222,96111,,NY
2012,North Carolina,0.654,0.648,4542488,4505372,6947954,7496980,0.061,35567,96070,4359,90843,,NC
2012,North Dakota,0.604,0.598,325564,322627,539164,549955,0.017,1500,0,0,1500,,ND
2012,Ohio,0.651,0.645,5632423,5580822,8649495,8896930,0.022,50313,0,0,50313,,OH
2012,Oklahoma,,0.492,,1334872,2713268,2885093,0.045,25225,25506,2310,41053,,OK
2012,Oregon,0.642,0.631,1820507,1789270,2836101,3050747,0.066,13607,0,0,13607,,OR
2012,Pennsylvania,,0.595,,5742040,9651432,10037099,0.033,50054,0,0,50054,,PA
2012,Rhode Island,,0.58,,446049,768918,834983,0.075,3249,0,0,3249,,RI
2012,South Carolina,0.568,0.563,1981516,1964118,3486838,3662322,0.035,21895,34945,6116,46532,,SC
2012,South Dakota,0.601,0.593,368270,363815,613190,631472,0.019,3574,0,2761,6335,,SD
2012,Tennessee,0.523,0.519,2479733,2458577,4736084,4976284,0.033,28135,64430,13138,75421,,TN
2012,Texas,,0.496,,7993851,16119973,19185395,0.135,157564,405473,112288,484753,,TX
2012,Utah,0.561,0.555,1028786,1017440,1833339,1978956,0.070,6611,0,0,6611,,UT
2012,Vermont,0.612,0.607,301793,299290,493355,502242,0.018,0,0,0,0,,VT
2012,Virginia,0.666,0.661,3888186,3854489,5834676,6348827,0.071,36425,52956,1983,66475,,VA
2012,Washington,0.658,0.648,3172939,3125516,4822060,5329782,0.082,16355,88339,8895,72070,,WA
2012,West Virginia,,0.463,,670438,1447066,1472642,0.008,7052,8573,2052,13648,,WV
2012,Wisconsin,0.733,0.729,3084115,3068434,4209370,4417273,0.032,21987,46328,20023,66564,,WI
2012,Wyoming,0.59,0.586,250701,249061,425142,441726,0.025,2163,5162,762,5661,,WY
2014,United States,0.367,0.36,83262122,81687059,227157964,245838140,0.083,1493706,2298993,548576,3329718,5345814,US
2014,Alabama,0.332,0.329,1191274,1180413,3588783,3738721,0.026,31691,53640,8097,69826,,AL
2014,Alaska,0.548,0.542,285431,282382,520562,550837,0.039,5216,7077,2210,11389,,AK
2014,Arizona,0.341,0.334,1537671,1506416,4510186,5119512,0.097,37516,73232,7502,86028,,AZ
2014,Arkansas,0.403,0.401,852642,848592,2117881,2262057,0.038,17756,28192,21743,55287,,AR
2014,California,0.307,0.299,7513972,7317581,24440416,29677092,0.167,136088,0,87104,223192,,CA
2014,Colorado,0.547,0.537,2080071,2041020,3800664,4127123,0.070,19121,0,10067,29188,,CO
2014,Connecticut,0.425,0.423,1096556,1089880,2577311,2828562,0.082,16113,0,2564,18677,,CT
2014,Delaware,0.349,0.343,238110,234038,681526,733971,0.056,6625,15665,676,16073,,DE
2014,District of Columbia,0.357,0.353,177176,175071,495899,548623,0.092,0,0,0,0,,DC
2014,Florida,0.433,0.428,6026802,5951561,13914216,15945404,0.105,95671,227087,4519,227359,,FL
2014,Georgia,0.386,0.382,2596947,2567761,6725041,7629263,0.071,50499,471067,25547,339844,,GA
2014,Hawaii,0.365,0.362,369554,366125,1012123,1112282,0.089,5721,0,0,5721,,HI
2014,Idaho,0.398,0.393,445307,439830,1119882,1205335,0.046,7901,33450,4217,30850,,ID
2014,Illinois,0.408,0.402,3680417,3627690,9028752,9895610,0.087,46465,0,0,46465,,IL
2014,Indiana,0.287,0.278,1387622,1341814,4829510,5018794,0.037,28638,0,0,28638,,IN
2014,Iowa,0.503,0.498,1142284,1129700,2269179,2381863,0.035,8686,29929,5769,31215,,IA
2014,Kansas,0.433,0.425,887023,869502,2048164,2180860,0.053,9326,16328,4051,22521,,KS
2014,Kentucky,0.449,0.442,1459409,1435868,3247300,3400898,0.025,21402,54107,16729,68431,,KY
2014,Louisiana,0.449,0.439,1503975,1472039,3349433,3541411,0.028,37881,40979,29619,90448,,LA
2014,Maine,0.587,0.581,616996,611255,1051557,1070535,0.017,0,0,0,0,,ME
2014,Maryland,0.42,0.417,1745104,1733177,4154546,4631815,0.087,20388,79539,11537,76467,,MD
2014,Massachusetts,0.447,0.441,2186789,2158326,4896296,5381878,0.087,10014,0,0,10014,,MA
2014,Michigan,0.432,0.427,3188956,3156531,7383958,7696494,0.036,42900,0,0,42900,,MI
2014,Minnesota,0.506,0.504,1992613,1981511,3935121,4179744,0.045,10003,97661,6642,71335,,MN
2014,Mississippi,,0.29,,631858,2181131,2258047,0.017,18756,34398,9883,47902,,MS
2014,Missouri,0.336,0.317,1509025,1426303,4493722,4670553,0.025,31432,47303,18495,76417,,MO
2014,Montana,0.475,0.469,373831,369826,787748,797527,0.011,3681,0,0,3681,,MT
2014,Nebraska,0.414,0.405,552115,539891,1334453,1416500,0.051,5221,12940,1067,13534,,NE
2014,Nevada,0.296,0.293,552546,547349,1867644,2184884,0.125,12537,12027,5927,25199,,NV
2014,New Hampshire,0.483,0.476,495565,488159,1025862,1063539,0.031,2867,0,0,2867,,NH
2014,New Jersey,0.325,0.311,1955042,1869535,6014127,6940888,0.119,20255,115898,14889,100047,,NJ
2014,New Mexico,,0.354,,512805,1449503,1582259,0.074,6879,16060,2255,18128,,NM
2014,New York,0.29,0.282,3930310,3819010,13553426,15569463,0.121,48376,0,44889,93265,,NY
2014,North Carolina,0.412,0.408,2939767,2915281,7143737,7689105,0.059,35726,90918,10025,96665,,NC
2014,North Dakota,0.45,0.438,255128,248670,567221,573831,0.022,1700,0,0,1700,,ND
2014,Ohio,0.362,0.351,3149876,3055913,8701243,8961449,0.024,51024,0,0,51024,,OH
2014,Oklahoma,0.3,0.299,825607,824831,2755091,2928877,0.046,27650,28568,2560,46208,,OK
2014,Oregon,0.534,0.509,1541782,1469717,2887517,3118999,0.067,15075,0,0,15075,,OR
2014,Pennsylvania,0.365,0.361,3535576,3495866,9689491,10092331,0.035,49643,0,0,49643,,PA
2014,Rhode Island,0.424,0.417,329212,324055,776286,843570,0.073,3294,0,0,3294,,RI
2014,South Carolina,0.352,0.348,1261611,1246301,3584461,3761320,0.034,20917,35096,5225,45796,,SC
2014,South Dakota,0.447,0.443,282291,279412,630989,640622,0.022,3528,0,2611,6139,,SD
2014,Tennessee,0.298,0.286,1430117,1374065,4799476,5061583,0.035,28495,62950,13498,77245,,TN
2014,Texas,,0.283,,4727208,16675420,19958733,0.133,157361,388101,111412,486110,,TX
2014,Utah,0.303,0.297,577973,565970,1905801,2048506,0.068,6824,0,0,6824,,UT
2014,Vermont,0.408,0.389,202445,193087,495884,504186,0.022,0,0,0,0,,VT
2014,Virginia,0.368,0.366,2194346,2184473,5962456,6467462,0.069,36943,54966,1732,69456,,VA
2014,Washington,0.431,0.412,2124330,2029189,4928407,5479396,0.084,17345,94112,9880,79928,,WA
2014,West Virginia,0.32,0.312,462864,451498,1447652,1465232,0.009,6873,7174,2749,13639,,WV
2014,Wisconsin,0.569,0.566,2422248,2410314,4260427,4454970,0.031,22097,46212,20010,67986,,WI
2014,Wyoming,0.397,0.39,171153,168390,431434,445626,0.027,2330,5196,715,5955,,WY
2016,United States,0.601,0.592,138846571,136753936,230931921,250055734,0.083,1416810,2198907,506297,3176484,4739596,US
2016,Alabama,0.591,0.588,2134061,2123372,3609447,3770142,0.025,28680,52177,8562,66983,,AL
2016,Alaska,0.615,0.61,321271,318608,522679,555367,0.041,4317,6621,1812,9903,,AK
2016,Arizona,0.561,0.549,2661497,2604657,4740310,5331034,0.094,37582,77373,7500,89185,,AZ
2016,Arkansas,0.532,0.528,1137772,1130635,2140097,2286625,0.038,17242,30881,23792,58636,,AR
2016,California,0.582,0.565,14610509,14181595,25104844,30201571,0.164,130390,0,0,130390,,CA
2016,Colorado,0.719,0.7,2859216,2780247,3974405,4305728,0.070,18576,0,10186,28762,,CO
2016,Connecticut,0.649,0.637,1675955,1644920,2582761,2821935,0.078,14475,0,3379,17854,,CT
2016,Delaware,0.644,0.642,445228,443814,691720,749872,0.057,6254,15395,387,15416,,DE
2016,District of Columbia,0.607,0.604,312575,311268,515248,562329,0.084,0,0,0,0,,DC
2016,Florida,0.656,0.645,9580489,9420039,14601066,16565588,0.105,92847,214066,4566,219431,,FL
2016,Georgia,0.598,0.591,4165405,4114732,6959963,7828207,0.072,51092,410964,22386,307727,,GA
