Year,State,BallotsCountedVEP,HighestOfficeVEP,BallotsCounted,VotesHighestOffice,VAP,VEP,PctNonCitizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,StateAbbreviation
2008,Alabama,0.61,0.608,2105622,2099819,3595708,3454510,0.022,30508,53252,8042,61155,74079,AL
2008,Alaska,0.683,0.68,327341,326197,507645,479429,0.037,5014,6708,1732,9234,60686,AK
2008,Arizona,0.574,0.567,2320851,2293475,4673718,4046075,0.116,39589,82232,7534,84472,90036,AZ
2008,Arkansas,0.529,0.525,1095958,1086617,2174846,2071563,0.029,14716,31169,19908,40255,43963,AR
2008,California,0.617,0.609,13743177,13561900,27411094,22261504,0.179,173670,0,120753,234047,486207,CA
2008,Colorado,0.716,0.71,2422236,2401361,3708955,3382959,0.080,23274,0,11654,29101,71854,CO
2008,Connecticut,,0.666,,1646792,2725917,2471082,0.085,20661,0,2328,21825,45799,CT
2008,Delaware,0.658,0.656,413562,412398,680493,628200,0.053,7075,17216,551,15959,12658,DE
2008,District of Columbia,0.617,0.615,266871,265853,481971,432566,0.103,0,0,0,0,6916,DC
2008,Florida,0.666,0.661,8453743,8390744,14558436,12687407,0.112,102388,279760,4528,244532,451907,FL
2008,Georgia,0.627,0.625,3940705,3924440,7063638,6281872,0.073,52719,397081,23448,262984,141001,GA
2008,Hawaii,0.49,0.488,456064,453568,1036088,930067,0.097,5955,0,0,5955,20090,HI
2008,Idaho,0.648,0.636,667506,655032,1117842,1029416,0.049,7290,49513,3361,33727,26779,ID
2008,Illinois,0.643,0.636,5578195,5523051,9615700,8681138,0.092,45474,0,0,45474,200530,IL
2008,Indiana,0.603,0.591,2805986,2751054,4826231,4653019,0.030,28322,0,0,28322,89605,IN
2008,Iowa,0.697,0.694,1543662,1537123,2298515,2216094,0.026,8766,22958,3159,21825,43108,IA
2008,Kansas,0.635,0.62,1264208,1235872,2100084,1991759,0.042,8539,16263,4958,19150,42495,KS
2008,Kentucky,0.59,0.579,1858578,1826508,3277617,3152629,0.022,21706,51035,12277,53362,58518,KY
2008,Louisiana,0.618,0.612,1979852,1960761,3342279,3205794,0.020,38381,40025,24636,70712,68285,LA
2008,Maine,0.718,0.706,744456,731163,1049816,1036242,0.013,0,0,0,0,21362,ME
2008,Maryland,0.678,0.67,2661905,2631596,4342850,3925117,0.078,23324,96360,13220,78114,77074,MD
2008,Massachusetts,0.673,0.668,3102995,3080985,5058035,4612550,0.086,11408,0,0,11408,77830,MA
2008,Michigan,0.697,0.692,5039080,5001766,7528460,7229512,0.033,48738,0,0,48738,163673,MI
2008,Minnesota,0.781,0.778,2921147,2910369,3975974,3740142,0.040,9910,127627,5081,76264,70063,MN
2008,Mississippi,,0.61,,1289856,2190402,2113347,0.019,22754,22267,2922,35349,45082,MS
2008,Missouri,0.682,0.676,2950504,2925205,4507688,4327572,0.025,30186,57360,20683,69208,96710,MO
2008,Montana,0.671,0.663,497599,491960,755384,741853,0.013,3545,0,0,3545,22898,MT
2008,Nebraska,0.637,0.629,811923,801281,1348048,1274719,0.043,4520,19606,846,14746,27311,NE
2008,Nevada,0.572,0.57,970019,967848,2000277,1696831,0.141,12743,13337,3908,21366,45656,NV
2008,New Hampshire,0.725,0.717,719643,710970,1021787,992226,0.026,2702,0,0,2702,25558,NH
