StateFIPS,PUMA,CongressionalDistrict,StateAbbreviation,Population2016,PUMAWgt
6,5915,49,CA,46505.102,0.441
6,5916,46,CA,116006.654,0.726
6,5916,47,CA,4.216,0
6,5916,48,CA,43783.891,0.274
6,5917,45,CA,295.097,0.002
6,5917,46,CA,173396.602,0.998
6,5918,46,CA,1.054,0
6,5918,48,CA,187023.737,1
6,6101,4,CA,135571.923,1
6,6102,4,CA,122825.742,1
6,6103,1,CA,48918.425,0.401
6,6103,3,CA,0,0
6,6103,4,CA,73214.911,0.599
6,6501,36,CA,196522.584,1
6,6502,36,CA,141937.945,0.993
6,6502,42,CA,932.353,0.007
6,6503,42,CA,50791.979,0.365
6,6503,50,CA,88243.131,0.635
6,6504,42,CA,138307.766,1
6,6505,41,CA,6283.297,0.033
6,6505,42,CA,185544.808,0.967
6,6506,36,CA,114376.279,0.71
6,6506,42,CA,46631.831,0.29
6,6507,36,CA,150345.48,0.957
6,6507,41,CA,522.336,0.003
6,6507,42,CA,6209.144,0.04
6,6508,41,CA,198787.493,1
6,6508,42,CA,62.157,0
6,6509,41,CA,95713.951,0.745
6,6509,42,CA,32811.196,0.255
6,6510,41,CA,160475.96,1
6,6511,41,CA,178653.028,0.996
6,6511,42,CA,794.954,0.004
6,6512,41,CA,22549.859,0.206
6,6512,42,CA,87004.355,0.794
6,6513,42,CA,158420.421,1
6,6514,41,CA,103579.521,0.639
6,6514,42,CA,58543.05,0.361
6,6515,36,CA,163315.547,0.998
6,6515,42,CA,380.575,0.002
6,6701,6,CA,880.632,0.008
6,6701,7,CA,111284.077,0.992
6,6702,7,CA,118344.073,1
6,6703,6,CA,61.911,0.001
6,6703,7,CA,116683.149,0.999
6,6704,3,CA,2.135,0
6,6704,6,CA,115293.352,0.902
6,6704,7,CA,12474.013,0.098
6,6705,3,CA,104.608,0.001
6,6705,6,CA,111167.727,0.999
6,6706,3,CA,28772.635,0.231
6,6706,6,CA,95727.32,0.769
6,6707,6,CA,118142.329,0.973
6,6707,7,CA,3222.578,0.027
6,6708,6,CA,108673.138,0.765
6,6708,7,CA,33357.256,0.235
6,6709,3,CA,0,0
6,6709,6,CA,147119.911,1
6,6710,3,CA,89.664,0.001
6,6710,6,CA,1154.962,0.007
6,6710,7,CA,161690.36,0.992
6,6711,3,CA,9374.19,0.082
6,6711,6,CA,5.337,0
6,6711,7,CA,76729.162,0.675
6,6711,9,CA,27573.909,0.243
6,6712,7,CA,116531.574,1
6,7101,8,CA,146633.501,1
6,7102,8,CA,170344.579,1
6,7103,8,CA,175654.835,1
6,7104,8,CA,96636.132,0.833
6,7104,27,CA,121.978,0.001
6,7104,31,CA,19242.052,0.166
